category,question,option1,option2,option3,option4,correct_answer,recommendation_type,recommendation_title,recommendation_link
technical,"What does HTML stand for?","Hyper Text Markup Language","Home Tool Markup Language","High Text Machine Language","Hyper Transfer Markup Language",1,w3schools,HTML Tutorial,https://www.w3schools.com/html/
technical,"Which CSS property is used to change the text color of an element?","text-color","color","font-color","bgcolor",2,w3schools,CSS Colors,https://www.w3schools.com/css/css_colors.asp
technical,"What does PHP stand for?","Personal Home Page","Preprocessor","Hypertext Preprocessor","Programming Language",3,w3schools,PHP Tutorial,https://www.w3schools.com/php/
technical,"Which SQL statement is used to extract data from a database?","SELECT","EXTRACT","GET","OPEN",1,w3schools,SQL SELECT,https://www.w3schools.com/sql/sql_select.asp
technical,"What does JavaScript use to declare a variable?","var","let","const","All of the above",4,w3schools,JS Variables,https://www.w3schools.com/js/js_variables.asp
technical,"Which of the following is a valid way to comment in Python?","// comment","# comment","/* comment */","<!-- comment -->",2,w3schools,Python Comments,https://www.w3schools.com/python/python_comments.asp
technical,"What does CSS stand for?","Creative Style Sheets","Computer Style Sheets","Cascading Style Sheets","Colorful Style Sheets",3,w3schools,CSS Tutorial,https://www.w3schools.com/css/
technical,"Which tag is used to create a hyperlink in HTML?","<link>","<a>","<href>","<url>",2,w3schools,HTML Links,https://www.w3schools.com/html/html_links.asp
technical,"What does SQL stand for?","Structured Question Language","Structured Query Language","Simple Query Language","Standard Query Language",2,w3schools,SQL Tutorial,https://www.w3schools.com/sql/
technical,"Which operator is used for 'not equal to' in PHP?","!=","<>","!==","Both A and B",4,w3schools,PHP Operators,https://www.w3schools.com/php/php_operators.asp
technical,"What is the correct way to start a session in PHP?","session_start()","start_session()","session_begin()","begin_session()",1,w3schools,PHP Sessions,https://www.w3schools.com/php/php_sessions.asp
technical,"Which function is used to include a file in PHP?","include()","require()","Both A and B","import()",3,w3schools,PHP Include,https://www.w3schools.com/php/php_includes.asp
technical,"What does AJAX stand for?","Asynchronous JavaScript and XML","Advanced JavaScript and XML","Asynchronous JSON and XML","Active JavaScript and XML",1,w3schools,AJAX Tutorial,https://www.w3schools.com/xml/ajax_intro.asp
technical,"Which method is used to send data to the server without reloading the page?","GET","POST","AJAX","FETCH",3,w3schools,AJAX Tutorial,https://www.w3schools.com/xml/ajax_intro.asp
technical,"What does API stand for?","Application Programming Interface","Application Program Interface","Advanced Programming Interface","Application Protocol Interface",1,w3schools,API Tutorial,https://www.w3schools.com/whatis/whatis_api.asp
technical,"Which of the following is a NoSQL database?","MySQL","PostgreSQL","MongoDB","SQLite",3,w3schools,MongoDB Tutorial,https://www.w3schools.com/mongodb/
technical,"What is the default port for MySQL?","3306","5432","8080","80",1,w3schools,MySQL Tutorial,https://www.w3schools.com/mysql/
technical,"Which Git command is used to create a new branch?","git branch new-branch","git checkout -b new-branch","git create branch","Both A and B",4,w3schools,Git Branch,https://www.w3schools.com/git/git_branch.asp
technical,"What does OOP stand for?","Object-Oriented Programming","Ordered Object Programming","Object-Oriented Protocol","Object Organization Programming",1,w3schools,OOP Tutorial,https://www.w3schools.com/java/java_oop.asp
technical,"Which principle is NOT part of OOP?","Inheritance","Polymorphism","Encapsulation","Compilation",4,w3schools,OOP Concepts,https://www.w3schools.com/java/java_oop.asp
technical,"What is the output of 5 + '5' in JavaScript?","10","55","Error","Undefined",2,w3schools,JS Type Coercion,https://www.w3schools.com/js/js_type_conversion.asp
technical,"Which HTML tag is used to display an image?","<img>","<image>","<src>","<pic>",1,w3schools,HTML Images,https://www.w3schools.com/html/html_images.asp
technical,"What does JSON stand for?","JavaScript Object Notation","Java Object Notation","JavaScript Oriented Notation","Java Script Object Notation",1,w3schools,JSON Tutorial,https://www.w3schools.com/js/js_json_intro.asp
technical,"Which HTTP method is used to retrieve data from a server?","POST","GET","PUT","DELETE",2,w3schools,HTTP Methods,https://www.w3schools.com/tags/ref_httpmethods.asp
technical,"What does CRUD stand for?","Create, Read, Update, Delete","Create, Retrieve, Update, Delete","Create, Read, Upload, Delete","Create, Read, Update, Drop",1,w3schools,CRUD Operations,https://www.w3schools.com/whatis/whatis_crud.asp
technical,"Which of the following is a programming paradigm?","Procedural","Object-Oriented","Functional","All of the above",4,w3schools,Programming Paradigms,https://www.w3schools.com/whatis/whatis_programming.asp
technical,"What does IDE stand for?","Integrated Development Environment","Integrated Design Environment","Internal Development Environment","Integrated Data Environment",1,w3schools,IDE Explained,https://www.w3schools.com/whatis/whatis_ide.asp
technical,"Which of the following is a version control system?","Git","SVN","Mercurial","All of the above",4,w3schools,Version Control,https://www.w3schools.com/git/
technical,"What does DNS stand for?","Domain Name System","Data Name System","Domain Network System","Digital Name System",1,w3schools,DNS Explained,https://www.w3schools.com/whatis/whatis_dns.asp
technical,"Which protocol is used for secure communication over the internet?","HTTP","FTP","HTTPS","SMTP",3,w3schools,HTTPS Tutorial,https://www.w3schools.com/whatis/whatis_https.asp
technical,"What is the primary key in a database?","Unique identifier for a record","Foreign key reference","Index","Table name",1,w3schools,Primary Key,https://www.w3schools.com/sql/sql_primarykey.asp
technical,"Which SQL clause is used to filter records?","WHERE","HAVING","FILTER","CONDITION",1,w3schools,SQL WHERE,https://www.w3schools.com/sql/sql_where.asp
technical,"What does JOIN do in SQL?","Combines rows from two tables","Deletes rows","Updates rows","Creates new table",1,w3schools,SQL JOIN,https://www.w3schools.com/sql/sql_join.asp
technical,"Which data structure uses LIFO (Last In First Out)?","Queue","Stack","Array","Linked List",2,w3schools,Data Structures,https://www.w3schools.com/dsa/dsa_data_structures.php
technical,"What is a primary key constraint?","Ensures unique values","Allows null values","Links two tables","Speeds up queries",1,w3schools,SQL Constraints,https://www.w3schools.com/sql/sql_constraints.asp
technical,"Which algorithm is used for sorting?","Bubble Sort","Quick Sort","Merge Sort","All of the above",4,w3schools,Sorting Algorithms,https://www.w3schools.com/dsa/dsa_algorithms.php
technical,"What is the time complexity of binary search?","O(n)","O(log n)","O(n²)","O(1)",2,w3schools,Big O Notation,https://www.w3schools.com/dsa/dsa_time_complexity.php
technical,"What does RAM stand for?","Random Access Memory","Read Access Memory","Runtime Access Memory","Rapid Access Memory",1,w3schools,Computer Memory,https://www.w3schools.com/whatis/whatis_computer_memory.asp
technical,"Which company developed the Windows operating system?","Apple","Microsoft","Google","IBM",2,w3schools,Windows OS,https://www.w3schools.com/whatis/whatis_windows.asp
technical,"What does CPU stand for?","Central Processing Unit","Computer Processing Unit","Central Program Unit","Central Processor Unit",1,w3schools,CPU Explained,https://www.w3schools.com/whatis/whatis_cpu.asp
technical,"What is the cloud?","Internet-based computing","Local storage","Physical server","Network cable",1,w3schools,Cloud Computing,https://www.w3schools.com/whatis/whatis_cloudcomputing.asp
technical,"Which of the following is a cyber attack?","Phishing","DDoS","Man-in-the-Middle","All of the above",4,w3schools,Cyber Attacks,https://www.w3schools.com/cybersecurity/
technical,"What is a firewall?","Network security system","Web browser","Database","Programming language",1,w3schools,Firewall Explained,https://www.w3schools.com/cybersecurity/cybersecurity_firewalls.php
technical,"What does VPN stand for?","Virtual Private Network","Visual Private Network","Virtual Public Network","Virtual Protected Network",1,w3schools,VPN Explained,https://www.w3schools.com/cybersecurity/cybersecurity_vpn.php
technical,"Which of the following is a social media platform?","Facebook","Twitter","Instagram","All of the above",4,w3schools,Social Media,https://www.w3schools.com/whatis/whatis_socialmedia.asp
technical,"What does IoT stand for?","Internet of Things","Internet of Technology","Integration of Things","Internet on Things",1,w3schools,IoT Explained,https://www.w3schools.com/whatis/whatis_iot.asp
technical,"Which company is known for search engine?","Google","Bing","Yahoo","All of the above",4,w3schools,Search Engines,https://www.w3schools.com/whatis/whatis_search_engine.asp
technical,"What is AI?","Artificial Intelligence","Automated Intelligence","Advanced Intelligence","Applied Intelligence",1,w3schools,AI Explained,https://www.w3schools.com/whatis/whatis_ai.asp
technical,"What does ML stand for?","Machine Learning","Markup Language","Meta Language","Memory Learning",1,w3schools,Machine Learning,https://www.w3schools.com/ai/
technical,"Which programming language is best for data science?","Python","R","SQL","All of the above",4,w3schools,Data Science,https://www.w3schools.com/datascience/
technical,"What is the difference between GET and POST in HTTP?","GET is faster, POST is slower","GET has body, POST has URL params","GET appends data to URL, POST sends in request body","GET is for forms, POST is for images",3,youtube,HTTP Methods,https://www.youtube.com/watch?v=GUJr3k3F1O8
technical,"What is a closure in JavaScript?","A closed function","A function with access to outer function's scope","A private variable","A built-in object",2,youtube,JavaScript Closures,https://www.youtube.com/watch?v=1JsJx1x34c
technical,"What is the purpose of the 'use strict' directive in JavaScript?","Enables strict parsing of JSON","Enables modern JavaScript features","Enforces stricter parsing and error handling","Disables deprecated features",3,w3schools,JS Use Strict,https://www.w3schools.com/js/js_strict.asp
technical,"Explain the concept of hoisting in JavaScript","Moving declarations to the bottom","Moving declarations to the top","Variable initialization only","Function expression hoisting",2,youtube,JavaScript Hoisting,https://www.youtube.com/watch?v=EvfRXyKa_GI
technical,"What is the event loop in JavaScript?","A loop that runs events","Handles asynchronous callbacks","An infinite loop","A timer function",2,youtube,Event Loop,https://www.youtube.com/watch?v=8aGhZQkoFbQ
technical,"What is the difference between == and === in JavaScript?","No difference","== compares value, === compares value and type","== compares type, === compares value","== is for numbers only",2,w3schools,JS Comparison,https://www.w3schools.com/js/js_comparisons.asp
technical,"What is a promise in JavaScript?","A guarantee to return data","An object representing eventual completion of async operation","A callback function","A synchronous operation",2,youtube,JavaScript Promises,https://www.youtube.com/watch?v=DHvZLI7Db8E
technical,"What is the purpose of the 'this' keyword?","Refers to current object","Refers to global object","Refers to parent function","All of the above",1,w3schools,JS this Keyword,https://www.w3schools.com/js/js_this.asp
technical,"Explain the difference between let, const, and var","No difference","var is function-scoped, let/const are block-scoped","let cannot be reassigned","const can be reassigned",2,w3schools,JS Let Const,https://www.w3schools.com/js/js_let.asp
technical,"What is REST API?","Random API","Representational State Transfer API","Reliable State Transfer API","Rapid Execution API",2,w3schools,REST API,https://www.w3schools.com/whatis/whatis_restapi.asp
technical,"What is normalization in databases?","Deleting duplicates","Organizing data to reduce redundancy","Adding more tables","Compressing data",2,w3schools,Database Normalization,https://www.w3schools.com/sql/sql_normalization.asp
technical,"What is a trigger in SQL?","Automatically executes on table events","A manual query","A scheduled job","An index",1,w3schools,SQL Triggers,https://www.w3schools.com/sql/sql_triggers.asp
technical,"What is the difference between clustered and non-clustered index?","Clustered sorts data, non-clustered doesn't","No difference","Clustered is faster","Non-clustered is default",1,w3schools,SQL Indexes,https://www.w3schools.com/sql/sql_create_index.asp
technical,"What is a deadlock in databases?","Two processes waiting for each other","A crashed query","A locked table","A missing index",1,w3schools,SQL Deadlock,https://www.w3schools.com/sql/sql_deadlock.asp
technical,"What is a view in SQL?","A virtual table based on query result","An image","A backup","A stored procedure",1,w3schools,SQL Views,https://www.w3schools.com/sql/sql_view.asp
technical,"What is the difference between git merge and git rebase?","No difference","Merge creates commit, rebase rewrites history","Rebase is faster","Merge is safer",2,w3schools,Git Merge vs Rebase,https://www.w3schools.com/git/git_merge.asp
technical,"What is the difference between monolithic and microservices?","Monolith is one app, microservices are separate","No difference","Microservices are slower","Monolith is newer",1,w3schools,Monolithic vs Microservices,https://www.w3schools.com/whatis/whatis_microservices.asp
technical,"What is the difference between unit test and integration test?","No difference","Unit tests single component, integration tests multiple","Integration tests are faster","Unit tests need database",2,w3schools,Unit Testing,https://www.w3schools.com/whatis/whatis_unittesting.asp
technical,"What is the difference between white box and black box testing?","White box tests internals, black box tests functionality","No difference","White box needs user","Black box needs code",1,w3schools,Software Testing,https://www.w3schools.com/whatis/whatis_software_testing.asp
technical,"Give an example of a creational design pattern","Singleton","Observer","Facade","Strategy",1,w3schools,Design Patterns,https://www.w3schools.com/whatis/whatis_design_pattern.asp
